"Year","Gross","Net","Conventional.Accounting","Economic.Sector","Sector","Category","Sub.Category.1","Sub.Category.2","Sub.Category.3","Gas","MT.CO2e.AR5.20.yr","MT.CO2e.AR4.100.yr","Average_Fahrenheit_Temperature"
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Kerosene","CO2",103266,103266,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Kerosene","CH4",375,125,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Kerosene","N2O",236,237,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","LPG","CO2",28984,28984,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","LPG","CH4",41,14,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","LPG","N2O",13,13,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Lubricants","CO2",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Lubricants","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Lubricants","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Lubricants (Transportation)","CO2",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Lubricants (Transportation)","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Lubricants (Transportation)","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Miscellaneous Petroleum Products","CO2",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Miscellaneous Petroleum Products","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Miscellaneous Petroleum Products","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Natural Gas","CO2",5376377,5376377,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Natural Gas","CH4",8987,2996,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Natural Gas","N2O",2824,2835,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Petroleum Coke","CO2",1329622,1329622,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Petroleum Coke","CH4",3462,1154,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Petroleum Coke","N2O",2176,2184,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Residual Fuel","CO2",2211574,2211574,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Residual Fuel","CH4",7830,2610,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Residual Fuel","N2O",4922,4941,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Special Naphthas","CO2",13208,13208,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Special Naphthas","CH4",49,16,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Special Naphthas","N2O",30,31,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Waxes","CO2",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Waxes","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Waxes","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Wood","CH4",67973,22658,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Wood","N2O",28484,28592,53.4
1990,"Yes","No","No","Industry","Energy","Fuel Combustion","Industrial","Not Applicable","Wood","Biogenic CO2",2399795,2399795,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Asphalt and Road Oil","CO2",12130,12130,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Asphalt and Road Oil","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Asphalt and Road Oil","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Coal - Coking","CO2",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Coal - Coking","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Coal - Coking","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Coal - Other","CO2",19901,19901,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Coal - Other","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Coal - Other","N2O",0,0,53.4
